Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Fatal(1),Destroyed,Airplane,Navion,A,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Cruise
Non-Fatal,Destroyed,Helicopter,Enstrom,280C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,IMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Taxi
Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,VMC,Approach
Incident,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Fatal(1),Destroyed,Airplane,Beechcraft,BE-58,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Approach
Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Descent
Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,VMC,Cruise
Fatal(1),Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,1.0,0.0,VMC,Taxi
Fatal(1),Destroyed,Airplane,Piper,PA-22,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Cruise
Fatal(2),Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,VMC,Approach
Incident,Minor,Airplane,Rockwell,114,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Beech,35,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Mooney,M-20J,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Cessna,210,1.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Beech,V35,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Curtis,C46,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",0.0,0.0,0.0,3.0,VMC,Standing
Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Glider,Schleicher,ASW 20,0.0,Unknown,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Piper,PA-34,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,IMC,Takeoff
Non-Fatal,Substantial,Airplane,Quickie,1,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,310L,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Minor,Airplane,Embraer,EMB-110P1,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,VMC,Taxi
Non-Fatal,Destroyed,Airplane,Grumman,AA5B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Descent
Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Beech,C-45H,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Go-around
Fatal(1),Destroyed,Airplane,Cessna,150M,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Takeoff
Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Maneuvering
Non-Fatal,Destroyed,Airplane,Cessna,182P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Other
Fatal(1),Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,VMC,Approach
Fatal(2),Destroyed,Airplane,Beech,F50,2.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,VMC,Takeoff
Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,180E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Non-Fatal,Substantial,Helicopter,Bell,206B,1.0,Turbo Shaft,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Maneuvering
Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Beech,G35,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,IMC,Maneuvering
Incident,Minor,Airplane,De Havilland,DHC-6-300,2.0,Turbo Prop,Part 91: General Aviation,0.0,0.0,0.0,1.0,IMC,Descent
Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,VMC,Climb
Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,UNK,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-32,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Minor,Airplane,Piper,PA-31-350,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Takeoff
Fatal(2),Destroyed,Airplane,Beech,58,2.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,IMC,Cruise
Fatal(1),Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,IMC,Approach
Fatal(1),Substantial,Airplane,Cessna,210,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,1.0,VMC,Approach
Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,VMC,Landing
Fatal(1),Destroyed,Airplane,Cessna,402A,2.0,Reciprocating,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,0.0,IMC,Approach
